timestamp,unix_time,read_kb_s,write_kb_s,avg_latency_ms,io_utilization_pct,reallocated_sectors,pending_sectors,temperature,power_on_hours
2026-03-26T20:30:48.471879,1774575048.471604,0.0,6156.0,76.71,27.9,541,0,36,42144
2026-03-26T20:30:49.472367,1774575049.4720678,0.0,57344.0,5.2,28.9,541,0,36,42144
2026-03-26T20:30:50.472933,1774575050.4725206,0.0,123904.0,6.2,68.7,541,0,36,42144
2026-03-26T20:30:51.473391,1774575051.4730966,0.0,126976.0,6.38,66.8,541,0,36,42144
2026-03-26T20:30:52.473848,1774575052.4735353,0.0,117824.0,9.98,71.2,541,0,36,42144
2026-03-26T20:30:53.474299,1774575053.4740152,0.0,122880.0,5.59,63.7,541,0,36,42144
2026-03-26T20:30:54.474733,1774575054.474455,0.0,6144.0,3.08,1.2,541,0,36,42144
2026-03-26T20:30:55.475138,1774575055.4748788,0.0,4096.0,3.12,0.8,541,0,36,42144
2026-03-26T20:30:56.475566,1774575056.475276,0.0,6144.0,3.0,1.2,541,0,36,42144
2026-03-26T20:30:57.476016,1774575057.4757228,0.0,4096.0,3.12,0.8,541,0,36,42144
2026-03-26T20:30:58.476511,1774575058.4761732,0.0,4212.0,5.85,5.9,541,0,36,42144
